result,radiant_win,duration,start_time,game_mode,localized_name,kills,deaths,assists,primary_attr,attack_type,carry,jungler,pusher,nuker,disabler,initiator,durable,support,legs
1,0,2641,1665389647,22,Witch Doctor,6,8,14,int,Ranged,0,0,0,1,1,0,0,1,2
0,0,3154,1665442285,22,Undying,4,5,23,str,Melee,0,0,0,1,1,0,1,1,2
1,1,2181,1665446810,22,Viper,4,5,10,agi,Ranged,1,0,0,0,1,1,1,0,0
1,1,2405,1665450166,22,Chaos Knight,11,3,11,str,Melee,1,0,1,0,1,1,1,0,2
0,1,1856,1665453557,22,Mars,2,9,6,str,Melee,1,0,0,0,1,1,1,0,2
1,0,2474,1665456318,22,Viper,14,4,18,agi,Ranged,1,0,0,0,1,1,1,0,0
1,0,2271,1665459576,22,Chaos Knight,11,2,10,str,Melee,1,0,1,0,1,1,1,0,2
1,0,3432,1665463018,22,Slardar,8,9,23,str,Melee,1,0,0,0,1,1,1,0,0
0,0,2790,1665536336,22,Snapfire,1,7,12,all,Ranged,0,0,0,1,1,0,0,1,2
0,1,2752,1665544982,22,Chaos Knight,17,11,15,str,Melee,1,0,1,0,1,1,1,0,2
1,1,2389,1665548423,22,Viper,7,10,14,agi,Ranged,1,0,0,0,1,1,1,0,0
0,0,2576,1665551514,22,Drow Ranger,7,6,13,agi,Ranged,1,0,1,0,1,0,0,0,2
0,1,2434,1665630130,22,Viper,5,6,14,agi,Ranged,1,0,0,0,1,1,1,0,0
0,0,1378,1665715500,22,Viper,3,3,1,agi,Ranged,1,0,0,0,1,1,1,0,0
0,1,1918,1666317677,22,Lina,1,7,2,int,Ranged,1,0,0,1,1,0,0,1,2
0,1,1590,1666319966,22,Chaos Knight,4,5,8,str,Melee,1,0,1,0,1,1,1,0,2
